Timestamp,Type,Offset,Curve,Nearest_Dist
20251219-202959,LDW,-67.1,Curving Right,N/A
20251219-203032,LDW,-65.9,Curving Right,N/A
20251219-203035,LDW,-70.2,Curving Right,N/A
20251219-203107,LDW,-65.9,Curving Right,N/A
20251219-203110,LDW,-67.1,Curving Right,N/A
20251219-203142,LDW,-65.9,Curving Right,N/A
20251219-203145,LDW,-70.2,Curving Right,N/A
20251219-203218,LDW,-65.9,Curving Right,N/A
20251219-203221,LDW,-67.1,Curving Right,N/A
20251219-203253,LDW,-65.9,Curving Right,N/A
20251219-203256,LDW,-67.1,Curving Right,N/A
20251219-203328,LDW,-65.9,Curving Right,N/A
20251219-203331,LDW,-67.1,Curving Right,N/A
20251219-203403,LDW,-65.9,Curving Right,N/A
20251219-203406,LDW,-67.1,Curving Right,N/A
20251219-203439,LDW,-65.9,Curving Right,N/A
20251219-203442,LDW,-67.1,Curving Right,N/A
20251219-203514,LDW,-65.9,Curving Right,N/A
20251219-203517,LDW,-67.1,Curving Right,N/A
20251219-203549,LDW,-65.9,Curving Right,N/A
20251219-203552,LDW,-60.7,Straight,N/A
20251219-203623,LDW,-65.9,Curving Right,N/A
20251219-203626,LDW,-74.0,Curving Right,N/A
20251219-203657,LDW,-65.9,Curving Right,N/A
20251219-203700,LDW,-67.1,Curving Right,N/A
20251219-203730,LDW,-65.9,Curving Right,N/A
20251219-203733,LDW,-67.1,Curving Right,N/A
20251219-203804,LDW,-65.9,Curving Right,N/A
20251219-203807,LDW,-67.1,Curving Right,N/A
20251219-203838,LDW,-65.9,Curving Right,N/A
20251219-203841,LDW,-67.1,Curving Right,N/A
20251219-203912,LDW,-65.9,Curving Right,N/A
20251219-203915,LDW,-67.1,Curving Right,N/A
20251219-203946,LDW,-65.9,Curving Right,N/A
20251219-203950,LDW,-60.7,Straight,N/A
20251219-204020,LDW,-65.9,Curving Right,N/A
20251219-204023,LDW,-60.7,Straight,N/A
20251219-204054,LDW,-65.9,Curving Right,N/A
20251219-204057,LDW,-67.1,Curving Right,N/A
20251219-204128,LDW,-65.9,Curving Right,N/A
20251219-204131,LDW,-67.1,Curving Right,N/A
20251219-204202,LDW,-65.9,Curving Right,N/A
20251219-204205,LDW,-67.1,Curving Right,N/A
20251219-204236,LDW,-65.9,Curving Right,N/A
20251219-204239,LDW,-70.2,Curving Right,N/A
20251219-204310,LDW,-65.9,Curving Right,N/A
20251219-204313,LDW,-60.7,Straight,N/A
20251219-204343,LDW,-65.9,Curving Right,N/A
20251219-204346,LDW,-67.1,Curving Right,N/A
20251219-204417,LDW,-65.9,Curving Right,N/A
20251219-204420,LDW,-60.7,Straight,N/A
20251219-204451,LDW,-65.9,Curving Right,N/A
20251219-204454,LDW,-74.0,Curving Right,N/A
20251219-204524,LDW,-65.9,Curving Right,N/A
20251219-204527,LDW,-70.2,Curving Right,N/A
20251219-204558,LDW,-65.9,Curving Right,N/A
20251219-204601,LDW,-67.1,Curving Right,N/A
20251219-204636,LDW,-65.9,Curving Right,N/A
20251219-204639,LDW,-67.1,Curving Right,N/A
20251220-170040,LDW,-65.9,Curving Right,N/A
20251220-170043,LDW,-67.1,Curving Right,N/A
20251220-170112,LDW,-65.9,Curving Right,N/A
20251220-170115,LDW,-61.0,Curving Left,N/A
